amount,duration,payments,min_amount,max_amount,avg_amount,min_balance,max_balance,avg_balance,credit,withdrawal,min_credit_amount,max_credit_amount,avg_credit_amount,min_withdrawal_amount,max_withdrawal_amount,avg_withdrawal_amount,members,last_balance,gender,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,unemploymant rate '96 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes '95 ,no. of commited crimes '96 ,Prague,central Bohemia,east Bohemia,north Bohemia,north Moravia,south Bohemia,south Moravia,west Bohemia,number_of_cards,owner_age,loan_year,loan_month,loan_day,amount_moth,can_pay,status
96396,12,8033,1100.0,9900.0,5025.0,1100.0,20100.0,12250.0,4,0,1100.0,9900.0,5025.0,0.0,0.0,0.0,1,20100.0,1,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,0,0,0,0,0,0,0,1,0.0,45,1993,7,5,10050.0,1,1
165960,36,4610,2.9,54300.0,11015.635135135135,700.0,120512.8,52083.85945945945,17,20,2.9,36574.0,13523.158823529411,14.6,54300.0,8884.240000000002,1,52208.9,0,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,0,0,1,0,0,0,0,0,0.0,24,1993,7,11,101894.625,1,0
47016,12,3918,32.8,51800.0,12252.22380952381,200.0,112901.6,60382.085714285706,22,20,32.8,47705.0,13031.063636363637,100.0,51800.0,11395.5,1,58773.2,1,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,0,0,1,0,0,0,0,0,0.0,35,1993,12,9,73513.34285714287,1,0
69360,48,1445,14.6,17782.0,4748.167948717948,1100.0,52365.0,33857.10641025642,31,47,34.2,17782.0,6597.132258064516,14.6,13700.0,3528.638297872341,1,38665.0,0,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,0,0,1,0,0,0,0,0,0.0,52,1994,6,12,26454.078571428567,1,0
127080,60,2118,48.6,19065.0,5417.458333333334,800.0,49590.4,30060.95416666668,15,9,48.6,19065.0,5009.733333333334,66.0,14800.0,6097.0,1,20272.8,0,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,0,0,1,0,0,0,0,0,0.0,57,1993,7,28,26003.800000000003,1,0
74736,36,2076,14.6,30918.0,8191.962686567161,700.0,62084.0,37912.998507462675,26,41,16.5,30918.0,11194.334615384618,14.6,20000.0,6288.019512195123,1,33243.7,0,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,0,0,1,0,0,0,0,0,0.0,28,1994,7,30,45738.458333333314,1,0
60000,60,1000,14.6,11049.0,2567.8445255474444,400.0,39393.9,24643.283941605838,48,89,41.5,11049.0,3840.34375,14.6,7000.0,1881.5528089887648,1,16878.6,0,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,0,0,1,0,0,0,0,0,0.0,48,1995,7,3,16752.128571428566,1,0
204000,60,3400,14.6,30604.0,7701.987692307691,400.0,68172.8,37809.39846153843,25,40,49.3,30604.0,10772.44,14.6,16100.0,5782.955000000001,1,37992.7,0,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,0,0,1,0,0,0,0,0,0.0,51,1995,12,18,45511.745454545446,1,0
105804,36,2939,14.6,26448.0,8253.080000000002,1000.0,65898.5,41297.479999999996,13,12,132.8,26448.0,9254.600000000002,14.6,15600.0,7168.100000000001,1,34292.7,1,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,53,1993,8,3,34387.833333333336,1,0
117024,24,4876,45.1,29255.0,14122.576923076924,800.0,76985.2,44131.16923076923,9,4,45.1,29255.0,13154.833333333336,2100.0,24000.0,16300.0,1,53193.5,0,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,58,1993,11,4,45898.375,1,0
173016,36,4806,30.0,62700.0,13519.828723404255,300.0,123928.2,61799.24361702124,47,47,39.4,49769.0,14459.529787234043,30.0,62700.0,12580.127659574468,1,88331.6,1,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,51,1996,5,30,127086.38999999998,1,0
