"att1","loan_id","amount","duration","payments","min_amount","max_amount","avg_amount","min_balance","max_balance","avg_balance","credit","withdrawal","members","last_balance","gender","no. of inhabitants","no. of municipalities with inhabitants < 499 ","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants 2000-9999 ","no. of municipalities with inhabitants >10000 ","no. of cities ","ratio of urban inhabitants ","average salary ","unemploymant rate '95 ","unemploymant rate '96 ","no. of enterpreneurs per 1000 inhabitants ","no. of commited crimes '95 ","no. of commited crimes '96 ","Prague","central Bohemia","east Bohemia","north Bohemia","north Moravia","south Bohemia","south Moravia","west Bohemia","number_of_cards","owner_age","loan_year","loan_month","loan_day","confidence(false)","confidence(true)","prediction(status)"
0,5895,93960,60,1566,14.6,36637.5,8051.737078651681,800.0,88246.7,54520.202247190966,30,59,1,49548.5,0,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,0,0,1,0,0,0,0,0,0.0,34,1997,1,3,0.1909176786752612,0.8090823213247385,"true"
1,5172,50976,36,1416,14.6,19200.0,3641.1341463414624,400.0,48735.9,28050.299186991895,38,85,1,21313.1,0,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,0,0,1,0,0,0,0,0,0.0,18,1998,4,16,0.21021997672483045,0.7897800232751696,"true"
2,6207,184620,60,3077,14.6,27692.0,7164.738053097343,1100.0,65517.7,34785.53451327431,43,70,1,39023.4,1,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,0,0,1,0,0,0,0,0,0.0,34,1998,6,23,0.20715839154725468,0.7928416084527453,"true"
3,7122,260640,36,7240,4.6,41871.0,6935.733333333331,-718.6,88731.8,31518.18205128206,29,49,1,11565.4,1,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089,1117,0,0,0,0,0,0,0,1,0.0,47,1997,1,4,0.7638555787488425,0.23614442125115748,"false"
4,7067,136368,24,5682,14.6,48627.0,15067.189830508472,600.0,119446.2,60593.84067796612,25,34,1,51899.0,0,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089,1117,0,0,0,0,0,0,0,1,0.0,28,1998,1,11,0.2735734927148878,0.7264265072851118,"true"
5,6173,232560,48,4845,45.7,43605.0,7217.385795454545,200.0,79286.6,40175.61250000004,43,133,1,45754.0,1,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,57,1997,1,8,0.2648789149894947,0.7351210850105049,"true"
6,6705,333648,48,6951,14.6,64800.0,12692.51649484536,500.0,114446.1,61748.702061855656,43,54,1,99815.6,1,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,21,1997,7,25,0.1926677623804671,0.8073322376195324,"true"
7,5889,321240,60,5354,14.6,49368.0,13228.34117647059,700.0,141990.0,76826.46397058821,55,81,1,37078.3,0,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,28,1998,2,9,0.23769732263446303,0.7623026773655366,"true"
8,5036,91248,48,1901,14.6,28726.0,7918.743434343431,900.0,59725.7,30173.12424242425,39,60,1,14866.7,1,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,25,1998,11,25,0.3897663559245376,0.6102336440754625,"true"
9,6142,221880,60,3698,2.0,33280.0,6430.80985915493,1000.0,74216.8,44440.912676056294,21,50,2,38913.4,1,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,0,1,0,0,0,0,0,0,0.0,53,1997,1,21,0.23256633054605885,0.7674336694539409,"true"
